IMPONENTE_ID;SALDOS;FECHA_CIERRE;MONTO_CUOTA
2610;49434;31/08/2020;8239
10555;129026;31/08/2020;8171
16597;88238;31/08/2020;7223
26970;127403;31/08/2020;11443
29620;116496;31/08/2020;9416
29791;122862;31/08/2020;10477
30905;145802;31/08/2020;10967
3280;93338;31/08/2020;7223
4332;117674;31/08/2020;6279
7053;150806;31/08/2020;11801
6423;116444;31/08/2020;6074
11316;121195;31/08/2020;8239
12283;118310;31/08/2020;6385
7432;68290;31/08/2020;4715
8246;93690;31/08/2020;6265
10619;88614;31/08/2020;14769
11397;86480;31/08/2020;9296
29367;38310;31/08/2020;6385
29934;99438;31/08/2020;7223
10574;176910;31/08/2020;19382
22365;92664;31/08/2020;5444
35662;101920;31/08/2020;5480
27118;106728;31/08/2020;6682
27734;104660;31/08/2020;7655
3787;224658;31/08/2020;11684
5994;230000;31/08/2020;20000
6952;129228;31/08/2020;5769
14789;105592;31/08/2020;5699
26459;155599;31/08/2020;6923
33735;145704;31/08/2020;7142
332;185852;31/08/2020;13935
4934;100330;31/08/2020;3103
14114;119917;31/08/2020;5447
15138;187800;31/08/2020;7700
16812;61074;31/08/2020;4698
18274;22600;31/08/2020;0
25516;128064;31/08/2020;5520
32563;186490;31/08/2020;9035
819;135603;31/08/2020;5961
1039;80067;31/08/2020;6159
2425;141260;31/08/2020;6074
4890;280000;31/08/2020;20000
5360;173113;31/08/2020;8918
7330;160876;31/08/2020;5908
7942;280000;31/08/2020;20000
16447;195000;31/08/2020;15000
20765;253477;31/08/2020;30000
22079;148708;31/08/2020;10622
29071;92638;31/08/2020;6617
30997;355964;31/08/2020;20364
17084;233639;31/08/2020;15211
16272;135000;31/08/2020;15000
23083;138460;31/08/2020;9846
9819;148556;31/08/2020;11214
34122;139080;31/08/2020;5908
36955;183060;31/08/2020;10477
10052;150260;31/08/2020;7026
14903;61080;31/08/2020;6108
16063;227510;31/08/2020;14751
16251;135000;31/08/2020;15000
17221;212850;31/08/2020;16745
22091;200000;31/08/2020;20000
22114;300000;31/08/2020;30000
23268;143534;31/08/2020;6923
24078;67340;31/08/2020;6734
13704;124584;31/08/2020;7342
21539;150150;31/08/2020;8015
5221;62577;31/08/2020;6953
